tensor,format,shape,bytes,role,tp2_placement
vision/layers/0/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/1/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/10/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/11/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/12/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/13/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/14/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/15/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/16/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/17/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/18/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/19/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/2/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/20/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/21/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/22/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/23/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/24/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/25/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/26/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/3/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/4/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/5/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
vision/layers/6/attention/qkv,Q4G64_F16S,3456x1152,2115072,attention,replicated (both ranks)
